Gene,SetType,DiseaseType
340273,disease,Syndrome2
377,disease,Syndrome2
381,disease,Syndrome2
115761,disease,Syndrome2
80117,disease,Syndrome2
51326,disease,Syndrome2
10124,disease,Syndrome2
379,disease,Syndrome2
26225,disease,Syndrome2
221079,disease,Syndrome2
390790,disease,Syndrome2
84100,disease,Syndrome2
132946,disease,Syndrome2
10498,disease,Syndrome2
6361,disease,Syndrome2
1280,disease,Syndrome2
1452,disease,Syndrome2
117159,disease,Syndrome2
148252,disease,Syndrome2
2177,disease,Syndrome2
2669,disease,Syndrome2
2941,disease,Syndrome2
3566,disease,Syndrome2
727897,disease,Syndrome2
4893,disease,Syndrome2
56134,disease,Syndrome2
5588,disease,Syndrome2
5764,disease,Syndrome2
8766,disease,Syndrome2
9230,disease,Syndrome2
51552,disease,Syndrome2
5862,disease,Syndrome2
5880,disease,Syndrome2
5898,disease,Syndrome2
5899,disease,Syndrome2
5906,disease,Syndrome2
5908,disease,Syndrome2
5911,disease,Syndrome2
5912,disease,Syndrome2
51655,disease,Syndrome2
23551,disease,Syndrome2
6009,disease,Syndrome2
9886,disease,Syndrome2
23221,disease,Syndrome2
22836,disease,Syndrome2
29984,disease,Syndrome2
54509,disease,Syndrome2
391,disease,Syndrome2
23433,disease,Syndrome2
58480,disease,Syndrome2
6016,disease,Syndrome2
6014,disease,Syndrome2
27289,disease,Syndrome2
390,disease,Syndrome2
6236,disease,Syndrome2
6237,disease,Syndrome2
6571,disease,Syndrome2
7298,disease,Syndrome2
220001,disease,Syndrome2
