Herb_id,Ingredient_id
HERB000309,HBIN000959
HERB000309,HBIN003207
HERB000309,HBIN010378
HERB000309,HBIN015023
HERB000309,HBIN015210
HERB000309,HBIN015368
HERB000309,HBIN015535
HERB000309,HBIN015547
HERB000309,HBIN015590
HERB000309,HBIN015613
HERB000309,HBIN017056
HERB000309,HBIN017285
HERB000309,HBIN017286
HERB000309,HBIN017287
HERB000309,HBIN017298
HERB000309,HBIN018012
HERB000309,HBIN018110
HERB000309,HBIN018148
HERB000309,HBIN018278
HERB000309,HBIN018397
HERB000309,HBIN020984
HERB000309,HBIN022771
HERB000309,HBIN022819
HERB000309,HBIN023623
HERB000309,HBIN023732
HERB000309,HBIN024519
HERB000309,HBIN024535
HERB000309,HBIN025274
HERB000309,HBIN026662
HERB000309,HBIN028076
HERB000309,HBIN028546
HERB000309,HBIN029013
HERB000309,HBIN031326
HERB000309,HBIN031330
HERB000309,HBIN031378
HERB000309,HBIN031662
HERB000309,HBIN032456
HERB000309,HBIN033218
HERB000309,HBIN033432
HERB000309,HBIN033583
HERB000309,HBIN033890
HERB000309,HBIN034311
HERB000309,HBIN036736
HERB000309,HBIN036756
HERB000309,HBIN038462
HERB000309,HBIN038467
HERB000309,HBIN038680
HERB000309,HBIN039396
HERB000309,HBIN040811
HERB000309,HBIN040948
HERB000309,HBIN043445
HERB000309,HBIN043654
HERB000309,HBIN044776
HERB000309,HBIN044781
HERB000309,HBIN044793
HERB000309,HBIN044842
HERB000309,HBIN045062
HERB000309,HBIN045071
HERB000309,HBIN047311
HERB000309,HBIN047316
HERB000309,HBIN047317
HERB000309,HBIN047323
HERB000309,HBIN047324
HERB000309,HBIN047579
HERB000338,HBIN002584
HERB000338,HBIN003917
HERB000338,HBIN004383
HERB000338,HBIN004819
HERB000338,HBIN004833
HERB000338,HBIN005745
HERB000338,HBIN008894
HERB000338,HBIN010644
HERB000338,HBIN011081
HERB000338,HBIN011225
HERB000338,HBIN011579
HERB000338,HBIN012775
HERB000338,HBIN014017
HERB000338,HBIN016408
HERB000338,HBIN016453
HERB000338,HBIN016603
HERB000338,HBIN017508
HERB000338,HBIN017516
HERB000338,HBIN018205
HERB000338,HBIN018278
HERB000338,HBIN018781
HERB000338,HBIN019475
HERB000338,HBIN019775
HERB000338,HBIN019825
HERB000338,HBIN020448
HERB000338,HBIN020653
HERB000338,HBIN020657
HERB000338,HBIN021604
