Ingredient_id,Target_name
HBIN000391,NR3C1
HBIN000391,AR
HBIN000452,CDK2
HBIN000452,ESR1
HBIN000452,OPRM1
HBIN000452,SCN5A
HBIN000621,ACHE
HBIN000743,NR3C1
HBIN000743,AR
HBIN000816,CA2
HBIN000959,NR3C1
HBIN000959,AR
HBIN001080,CHRM1
HBIN001080,IGHG1
HBIN001080,NR3C2
HBIN001080,GABRA1
HBIN001080,PRSS1
HBIN001080,NR3C1
HBIN001080,DPP4
HBIN001080,CHRM2
HBIN001080,AR
HBIN001244,PTGS1
HBIN001244,PTGS2
HBIN001244,PPARG
HBIN001244,NCOA2
HBIN002016,PRSS1
HBIN002016,PTGS2
HBIN002016,RXRA
HBIN002016,ESR1
HBIN002016,PPARG
HBIN002016,CHEK1
HBIN002016,GSK3B
HBIN002016,CCNA2
HBIN002016,CDK2
HBIN002016,MAPK14
HBIN002016,ESR2
HBIN002016,PIM1
HBIN002016,AR
HBIN002016,NOS2
HBIN002087,CCND1
HBIN002087,CDK2
HBIN002087,CDK4
HBIN002087,FOS
HBIN002087,JUN
HBIN002087,MYC
HBIN002087,HERC5
HBIN002089,NR3C1
HBIN002089,AR
HBIN002095,ANPEP
HBIN002095,BDH1
HBIN002095,CBR1
HBIN002095,CBR3
HBIN002095,AKR1C4
HBIN002095,CTNNA1
HBIN002095,CTNNB1
HBIN002095,AKR1C1
HBIN002095,AKR1C2
HBIN002095,DECR1
HBIN002095,GJA1
HBIN002095,NR3C1
HBIN002095,HPGD
HBIN002095,HRAS
HBIN002095,HSD11B1
HBIN002095,HSD11B2
HBIN002095,HSD17B1
HBIN002095,HSD17B2
HBIN002095,ICAM1
HBIN002095,JUP
HBIN002095,NR3C2
HBIN002095,MTRR
HBIN002095,NOS1
HBIN002095,NOS2
HBIN002095,NOS3
HBIN002095,ABCB1
HBIN002095,POR
HBIN002095,PTPN11
HBIN002095,RDH5
HBIN002095,REN
HBIN002095,SRC
HBIN002095,HSD17B8
HBIN002095,RDH16
HBIN002095,HSD17B6
HBIN002095,AKR1C3
HBIN002095,DHRS2
HBIN002095,SLCO1B1
HBIN002095,DHRS4
HBIN002095,DHRS7B
HBIN002095,DECR2
HBIN002095,NDOR1
HBIN002095,SLCO1B3
HBIN002095,RDH8
HBIN002095,RDH11
HBIN002095,HSD17B11
HBIN002095,HSD17B14
HBIN002095,TYW1
HBIN002095,PECR
HBIN002095,BDH2
HBIN002095,RDH14
HBIN002095,DHRS12
HBIN002095,HSDL2
HBIN002095,CBR4
HBIN002095,RDH13
HBIN002095,DHRS1
HBIN002095,SDR9C7
HBIN002095,RDH12
HBIN002095,PTGR2
HBIN002095,DHRS13
HBIN002095,RDH10
HBIN002095,SDR16C5
HBIN002095,DHRS7C
HBIN002095,DHRSX
HBIN002095,DHRS4L2
HBIN002095,HSD17B13
HBIN002095,HSD11B1L
HBIN002095,C2orf81
HBIN002095,AR
HBIN002102,PIM1
HBIN002102,ACHE
HBIN002102,PRSS1
HBIN002102,GABRA1
HBIN002102,DPP4
HBIN002102,PTGS2
HBIN002102,CA2
HBIN002102,CHRNA2
HBIN002161,GABRA1
HBIN002161,PRSS1
HBIN002161,CA2
HBIN002161,ACHE
HBIN002584,CNN3
HBIN002717,ADRB2
HBIN002717,AR
HBIN002717,CALM3
HBIN002717,CCNA2
HBIN002717,CDK2
HBIN002717,ESR1
HBIN002717,ESR2
HBIN002717,GSK3B
HBIN002717,KCNH2
HBIN002717,KDR
HBIN002717,NOS2
HBIN002717,PRSS1
HBIN002717,PTGS1
HBIN002717,PTGS2
HBIN002717,RXRA
HBIN002717,SCN5A
HBIN002717,NCOA1
HBIN002717,ADRA1B
HBIN002717,PIM1
HBIN002717,NCOA2
HBIN002717,DPP4
HBIN002717,MAPK14
HBIN002717,ADRA1D
HBIN002717,PPARG
HBIN002717,CHEK1
HBIN002818,PTGS1
HBIN002818,PPARG
HBIN002968,ESR1
HBIN002968,PTGS2
HBIN002968,AR
HBIN002968,NCOA2
HBIN002968,NOS2
HBIN002968,DPP4
HBIN003093,CHRM1
HBIN003093,DPP4
HBIN003093,CHRNA7
HBIN003093,CHRM3
HBIN003093,GABRA1
HBIN003093,CHRM2
HBIN003207,CHRM1
HBIN003207,CHRM2
HBIN003207,GABRA1
HBIN003207,PRSS1
HBIN003207,DPP4
HBIN003221,PRSS3
HBIN003221,DPP4
HBIN003221,LYZ
HBIN003221,PRSS1
HBIN003247,NR3C1
HBIN003249,PRSS1
HBIN003305,PGR
HBIN003305,PTGS2
HBIN003305,RXRA
HBIN003305,DPP4
HBIN003305,AR
HBIN003305,NR3C1
HBIN003305,PRSS1
HBIN003305,CA2
HBIN003305,ESR1
HBIN003305,GABRA1
HBIN003305,NCOA2
HBIN003305,ACHE
HBIN003366,PRSS1
HBIN003405,AR
HBIN003405,NR3C2
HBIN003405,ESR1
HBIN003537,GABRA1
HBIN003647,PRSS1
HBIN003688,SLC6A2
HBIN003688,CA2
HBIN003688,PRSS1
HBIN003688,DPP4
HBIN003688,GABRA1
HBIN003688,ACHE
HBIN003712,BCHE
HBIN003712,MAOB
HBIN003712,PTGS1
HBIN003712,PRSS3
HBIN003712,ACHE
HBIN003712,GABRA1
HBIN003712,CA2
HBIN003712,PRSS1
HBIN003770,CHRM1
HBIN003770,PRSS1
HBIN003770,CHRM2
HBIN003917,CA2
HBIN003917,PRSS1
HBIN003917,PTGS1
HBIN003917,PTGS2
HBIN003917,ESR2
HBIN003917,NCOA2
HBIN003917,GSK3B
HBIN003917,CDK2
HBIN003917,MAPK14
HBIN003917,AR
HBIN003917,PIM1
HBIN003917,NOS2
HBIN003917,ESR1
HBIN003917,CHEK1
HBIN003917,PPARG
HBIN003917,CCNA2
HBIN003917,DPP4
HBIN004066,BCHE
HBIN004066,PRSS1
HBIN004303,CD36
HBIN004303,F3
HBIN004303,TNF
HBIN004383,NR3C2
HBIN004383,PGR
HBIN004383,NR3C1
HBIN004383,AR
HBIN004383,ESR1
HBIN004409,NR3C1
HBIN004409,AR
HBIN004459,MSMO1
HBIN004459,FAXDC2
HBIN004459,AR
HBIN004459,ESR1
HBIN004550,CASP9
HBIN004550,CDH1
HBIN004550,CDKN1B
HBIN004550,CYP2B6
HBIN004550,GSTP1
HBIN004550,ABCB1
HBIN004550,PPARG
HBIN004550,PTEN
HBIN004550,RXRA
HBIN004550,SHC1
HBIN004550,SRC
HBIN004550,TIMP1
HBIN004550,VDR
HBIN004550,VEGFA
HBIN004550,SIRT1
HBIN004578,PTGS2
HBIN004578,GABRA1
HBIN004578,DPP4
HBIN004578,PRSS1
HBIN004636,AGL
HBIN004661,LYZ
HBIN004661,ADH1A
HBIN004661,PRSS1
HBIN004661,PRSS3
HBIN004661,CA2
HBIN004819,ACHE
HBIN004827,PRSS1
HBIN004833,PRSS1
HBIN004933,CYP1A1
HBIN004933,CYP1A2
HBIN004933,CYP2A6
HBIN004933,CYP2A7
HBIN004933,CYP3A7
HBIN004933,CYP2A13
HBIN004933,CYP2B6
HBIN004933,CYP2C19
HBIN004933,CYP2C8
HBIN004933,CYP2C9
HBIN004933,CYP2C18
HBIN004933,CYP2D6
HBIN004933,CYP2E1
HBIN004933,CYP2F1
HBIN004933,CYP2J2
HBIN004933,CYP3A4
HBIN004933,CYP3A5
HBIN004933,CYP4A11
HBIN004933,CYP4B1
HBIN004933,CYP7A1
HBIN004933,CYP8B1
HBIN004933,CYP11A1
HBIN004933,CYP11B1
HBIN004933,CYP11B2
HBIN004933,CYP17A1
HBIN004933,CYP24A1
HBIN004933,CYP26A1
HBIN004933,CYP27A1
HBIN004933,CYP27B1
HBIN004933,CYP51A1
HBIN004933,CYP4F3
HBIN004933,PTGIS
HBIN004933,TBXAS1
HBIN004933,CYP4F2
HBIN004933,CYP7B1
HBIN004933,CYP46A1
HBIN004933,CYP2S1
HBIN004933,CYP39A1
HBIN004933,CYP2W1
HBIN004933,CYP26B1
HBIN004933,CYP20A1
HBIN004933,CYP4F11
HBIN004933,CYP3A43
HBIN004933,CYP4F12
HBIN004933,CYP2U1
HBIN004933,CYP2R1
HBIN004933,CYP4F22
HBIN004933,CYP4Z1
HBIN004933,CYP4X1
HBIN004933,CYP4A22
HBIN004933,CYP4V2
HBIN004933,CYP27C1
HBIN004933,CYP26C1
HBIN004937,PRSS1
HBIN004937,LYZ
HBIN004937,CA2
HBIN004937,ADH1A
HBIN004957,PRSS1
HBIN004957,PRSS3
HBIN005450,PRSS1
HBIN005451,NR3C1
HBIN005451,NR3C2
HBIN005451,PGR
HBIN005451,NCOA1
HBIN005451,GABRA1
HBIN005451,ESR1
HBIN005451,AR
HBIN005451,ACHE
HBIN005451,PRSS1
HBIN005451,NCOA2
HBIN005625,SLC6A2
HBIN005625,LYZ
HBIN005625,PRSS1
HBIN005662,ALOX5
HBIN005745,ADRB2
HBIN005745,CASP3
HBIN005745,CHRM1
HBIN005745,DRD2
HBIN005745,HRH1
HBIN005745,IGHG1
HBIN005745,MAOB
HBIN005745,OPRD1
HBIN005745,OPRM1
HBIN005745,PTGS1
HBIN005745,PTGS2
HBIN005745,RXRA
HBIN005745,SCN5A
HBIN005745,SLC6A3
HBIN005745,SLC6A4
HBIN005745,SRC
HBIN005745,DPP4
HBIN005745,AR
HBIN005745,CHEK1
HBIN005745,GSK3B
HBIN005745,MAPK14
HBIN005745,CHRM2
HBIN005745,PKIA
HBIN005745,CA2
HBIN005745,PDE3A
HBIN005745,NCOA2
HBIN005745,CHRM3
HBIN005745,ESR1
HBIN005745,ACHE
HBIN005745,ESR2
HBIN005745,NOS2
HBIN005745,PIM1
HBIN005745,ADRA2B
HBIN005745,CHRM4
HBIN005745,GABRA1
HBIN005745,PPARG
HBIN005745,LTA4H
HBIN005745,CDK2
HBIN005745,CHRNA7
HBIN005745,DRD1
HBIN005745,CHRNA2
HBIN005745,CHRM5
HBIN005745,CCNA2
HBIN005911,ADRA1A
HBIN005911,ADRB1
HBIN005911,ADRB2
HBIN005911,AR
HBIN005911,CHRM1
HBIN005911,PTGS2
HBIN005911,RXRA
HBIN005911,SLC6A3
HBIN005911,SLC6A4
HBIN005911,GABRA1
HBIN005911,ADRA1B
HBIN005911,ADRA1D
HBIN005911,CHRM2
HBIN005911,PDE3A
HBIN005911,ESR1
HBIN005911,NOS2
HBIN005911,CHRM3
HBIN005919,CYP1A1
HBIN005919,CYP1A2
HBIN005919,CYP2A6
HBIN005919,CYP2A7
HBIN005919,CYP2A13
HBIN005919,CYP2B6
HBIN005919,CYP2C19
HBIN005919,CYP2C8
HBIN005919,CYP2C9
HBIN005919,CYP2C18
HBIN005919,CYP2D6
HBIN005919,CYP2E1
HBIN005919,CYP2F1
HBIN005919,CYP2J2
HBIN005919,CYP17A1
HBIN005919,CYP2S1
HBIN005919,CYP2W1
HBIN005919,CYP2U1
HBIN005919,CYP2R1
HBIN005940,PTGS1
HBIN005940,PTGS2
HBIN005940,AR
HBIN005940,PPARG
HBIN005940,NOS2
HBIN005940,CDK2
HBIN005940,CHEK1
HBIN005940,ESR1
HBIN005940,MAPK14
HBIN005940,GSK3B
