Syndrome_id,SYMBOL
Syndrome 3,ABCF2
Syndrome 3,ABCF3
Syndrome 3,ACE
Syndrome 3,ACOT11
Syndrome 3,ACOT12
Syndrome 3,ACSF2
Syndrome 3,ACSF3
Syndrome 3,ACVR1
Syndrome 3,ADIPOR1
Syndrome 3,ADSL
Syndrome 3,ADSS2
Syndrome 3,AFF1
Syndrome 3,AMH
Syndrome 3,AMY2A
Syndrome 3,AMZ1
Syndrome 3,AMZ2
Syndrome 3,ANKRD12
Syndrome 3,AR
Syndrome 3,ATP2B2
Syndrome 3,ATP5MF
Syndrome 3,ATP5MG
Syndrome 3,ATP5PO
Syndrome 3,ATP6AP1
Syndrome 3,ATP6V1B1
Syndrome 3,ATP6V1B2
Syndrome 3,ATP7A
Syndrome 3,AURKC
Syndrome 3,AWAT1
Syndrome 3,B3GNTL1
Syndrome 3,BAK1
Syndrome 3,BCAT2
Syndrome 3,BCL2A1
Syndrome 3,BCL2L2
Syndrome 3,BHMT
Syndrome 3,BIRC7
Syndrome 3,BMP10
Syndrome 3,BMP15
Syndrome 3,BMP3
Syndrome 3,BMP5
Syndrome 3,BMP8A
Syndrome 3,BMP8B
Syndrome 3,BOK
Syndrome 3,BRIP1
Syndrome 3,BRSK1
Syndrome 3,BRSK2
Syndrome 3,BTRC
Syndrome 3,C5AR1
Syndrome 3,CACNA2D2
Syndrome 3,CBR4
Syndrome 3,CCL20
Syndrome 3,CCN1
Syndrome 3,CCNB1IP1
Syndrome 3,CCNG1
Syndrome 3,CD28
Syndrome 3,CD79B
Syndrome 3,CDC14A
Syndrome 3,CDC20
Syndrome 3,CDC25C
Syndrome 3,CDH6
Syndrome 3,CDR1
Syndrome 3,CEL
Syndrome 3,CGB8
Syndrome 3,CHAC1
Syndrome 3,CHAMP1
Syndrome 3,CHD2
Syndrome 3,CHEK1
Syndrome 3,CHI3L1
Syndrome 3,CHRND
Syndrome 3,CHRNE
Syndrome 3,CHRNG
Syndrome 3,CIDEA
Syndrome 3,CLK1
Syndrome 3,CLYBL
Syndrome 3,CORO7-PAM16
Syndrome 3,CPEB4
Syndrome 3,CPLX1
Syndrome 3,CPOX
Syndrome 3,CPSF2
Syndrome 3,CPSF3
Syndrome 3,CREBRF
Syndrome 3,CREBZF
Syndrome 3,CRYM
Syndrome 3,CTBP1
Syndrome 3,CTDSP1
Syndrome 3,CUL5
Syndrome 3,CXCL1
Syndrome 3,CYTB
Syndrome 3,CYTH3
Syndrome 3,DAG1
Syndrome 3,DAXX
Syndrome 3,DCLRE1A
Syndrome 3,DCLRE1B
Syndrome 3,DCLRE1C
Syndrome 3,DDAH1
Syndrome 3,DDB1
Syndrome 3,DDX5
Syndrome 3,DIP2A
Syndrome 3,DIP2B
Syndrome 3,DIP2C
Syndrome 3,DNAJC1
Syndrome 3,DNAJC15
Syndrome 3,DNAJC17
Syndrome 3,DNAJC19
Syndrome 3,DNAJC9
Syndrome 3,DNMT1
Syndrome 3,DPEP2
Syndrome 3,DPEP3
Syndrome 3,DPM1
Syndrome 3,DPYS
Syndrome 3,DPYSL5
Syndrome 3,DTX3L
Syndrome 3,DUSP12
Syndrome 3,DUSP13
Syndrome 3,DUSP15
Syndrome 3,DUSP16
Syndrome 3,DUSP18
Syndrome 3,DUSP19
Syndrome 3,DUSP21
Syndrome 3,DUSP26
Syndrome 3,DUSP3
Syndrome 3,DUSP7
Syndrome 3,EBF1
Syndrome 3,EBF2
Syndrome 3,EBF3
Syndrome 3,EBF4
Syndrome 3,ECE2
Syndrome 3,ECEL1
Syndrome 3,EEFSEC
Syndrome 3,EGFLAM
Syndrome 3,EMP2
Syndrome 3,ENO1
Syndrome 3,ENO4
Syndrome 3,ENPP4
Syndrome 3,EPHB1
Syndrome 3,ESR2
Syndrome 3,ETS1
Syndrome 3,FA2H
Syndrome 3,FANCL
Syndrome 3,FBLN2
Syndrome 3,FBP2
Syndrome 3,FDX1
Syndrome 3,FFAR2
Syndrome 3,FFAR3
Syndrome 3,FKBP1B
Syndrome 3,FNIP1
Syndrome 3,FOXC2
Syndrome 3,FOXM1
Syndrome 3,FTO
Syndrome 3,G3BP1
Syndrome 3,GBF1
Syndrome 3,GCSH
Syndrome 3,GDE1
Syndrome 3,GDF1
Syndrome 3,GDF11
Syndrome 3,GDF3
Syndrome 3,GDF5
Syndrome 3,GDF6
Syndrome 3,GDF7
Syndrome 3,GDF9
Syndrome 3,GDPD1
Syndrome 3,GDPD2
Syndrome 3,GDPD4
Syndrome 3,GFPT1
Syndrome 3,GFPT2
Syndrome 3,GJD2
Syndrome 3,GLTP
Syndrome 3,GLUL
Syndrome 3,GMPS
Syndrome 3,GNAI1
Syndrome 3,GNAI3
Syndrome 3,GNPDA2
Syndrome 3,GREM2
Syndrome 3,GSK3B
Syndrome 3,HDAC6
Syndrome 3,HDHD2
Syndrome 3,HDHD5
Syndrome 3,HGS
Syndrome 3,HMBS
Syndrome 3,HMGCR
Syndrome 3,HNRNPF
Syndrome 3,HOMER2
Syndrome 3,HPSE
Syndrome 3,HS3ST3A1
Syndrome 3,HSD11B1
Syndrome 3,IDH3A
Syndrome 3,IER3IP1
Syndrome 3,IFIH1
Syndrome 3,IGFN1
Syndrome 3,IGSF22
Syndrome 3,IL13RA2
Syndrome 3,IL17B
Syndrome 3,INHBA
Syndrome 3,INHBB
Syndrome 3,INHBC
Syndrome 3,INHBE
Syndrome 3,INSL4
Syndrome 3,INSL5
Syndrome 3,INTS11
Syndrome 3,INTS9
Syndrome 3,IPPK
Syndrome 3,IREB2
Syndrome 3,IRF4
Syndrome 3,ITPA
Syndrome 3,ITSN2
Syndrome 3,KCNA4
Syndrome 3,KCNAB1
Syndrome 3,KCNAB2
Syndrome 3,KCNAB3
Syndrome 3,KCNJ1
Syndrome 3,KCNJ10
Syndrome 3,KCNJ12
Syndrome 3,KCNJ13
Syndrome 3,KCNJ14
Syndrome 3,KCNJ15
Syndrome 3,KCNJ16
Syndrome 3,KCNJ3
Syndrome 3,KCNJ4
Syndrome 3,KCNJ9
Syndrome 3,KCNQ1
Syndrome 3,KEL
Syndrome 3,KHSRP
Syndrome 3,KPNA5
Syndrome 3,KPNA6
Syndrome 3,KPNA7
Syndrome 3,L3HYPDH
Syndrome 3,LACC1
Syndrome 3,LACTBL1
Syndrome 3,LEFTY1
Syndrome 3,LEFTY2
Syndrome 3,LEMD2
Syndrome 3,LEMD3
Syndrome 3,LHPP
Syndrome 3,LSM6
Syndrome 3,MAP1LC3C
Syndrome 3,MAP2K5
Syndrome 3,MAP3K2
Syndrome 3,MAPK8
Syndrome 3,MAPK9
Syndrome 3,MAPKAPK3
Syndrome 3,MAPRE1
Syndrome 3,MAPRE2
Syndrome 3,MARK1
Syndrome 3,MARK2
Syndrome 3,MARK3
Syndrome 3,MCTP1
Syndrome 3,MDC1
Syndrome 3,MDH1B
Syndrome 3,MDM4
Syndrome 3,MIR155
Syndrome 3,MIR21
Syndrome 3,MMACHC
Syndrome 3,MMEL1
Syndrome 3,MPZ
Syndrome 3,MSLN
Syndrome 3,MTERF1
Syndrome 3,MVK
Syndrome 3,MYLK
Syndrome 3,MYLK3
Syndrome 3,NAE1
Syndrome 3,ND2
Syndrome 3,ND5
Syndrome 3,NECAP2
Syndrome 3,NIF3L1
Syndrome 3,NKX2-2
Syndrome 3,NKX2-3
Syndrome 3,NKX2-4
Syndrome 3,NKX2-6
Syndrome 3,NKX2-8
Syndrome 3,NKX3-2
Syndrome 3,NME5
Syndrome 3,NME6
Syndrome 3,NMNAT1
Syndrome 3,NMNAT2
Syndrome 3,NMNAT3
Syndrome 3,NOD1
Syndrome 3,NODAL
Syndrome 3,NPM1
Syndrome 3,NQO2
Syndrome 3,NR1D2
Syndrome 3,NR4A3
Syndrome 3,NUBP2
Syndrome 3,NUCB2
Syndrome 3,NUDT6
Syndrome 3,OBSL1
Syndrome 3,OLR1
Syndrome 3,OSER1
Syndrome 3,OXTR
Syndrome 3,P3H1
Syndrome 3,PAK1
Syndrome 3,PAM16
Syndrome 3,PAPOLB
Syndrome 3,PAPOLG
Syndrome 3,PAPSS1
Syndrome 3,PAPSS2
Syndrome 3,PARP12
Syndrome 3,PAX5
Syndrome 3,PDCD5
Syndrome 3,PDE11A
Syndrome 3,PDE6A
Syndrome 3,PDE6B
Syndrome 3,PDE6C
Syndrome 3,PDE7A
Syndrome 3,PDE7B
Syndrome 3,PDE9A
Syndrome 3,PHEX
Syndrome 3,PHGDH
Syndrome 3,PICK1
Syndrome 3,PILRA
Syndrome 3,PKM
Syndrome 3,PLK1
Syndrome 3,PLK2
Syndrome 3,PNPT1
Syndrome 3,PPEF1
Syndrome 3,PPEF2
Syndrome 3,PPP3CB
Syndrome 3,PPP3CC
Syndrome 3,PPP5D1P
Syndrome 3,PRCP
Syndrome 3,PRKD1
Syndrome 3,PTK2B
Syndrome 3,PTPDC1
Syndrome 3,PUM1
Syndrome 3,PUM2
Syndrome 3,PXN
Syndrome 3,RAB3A
Syndrome 3,RAD23A
Syndrome 3,RAPGEF3
Syndrome 3,RBM23
Syndrome 3,RBX1
Syndrome 3,RCL1
Syndrome 3,RETN
Syndrome 3,REXO2
Syndrome 3,RGS11
Syndrome 3,RGS12
Syndrome 3,RGS13
Syndrome 3,RGS14
Syndrome 3,RGS17
Syndrome 3,RGS18
Syndrome 3,RGS19
Syndrome 3,RGS20
Syndrome 3,RGS21
Syndrome 3,RGS3
Syndrome 3,RGS6
Syndrome 3,RGS7
Syndrome 3,RGS8
Syndrome 3,RGS9
Syndrome 3,RIMKLA
Syndrome 3,RIMKLB
Syndrome 3,RIMS1
Syndrome 3,RNASE3
Syndrome 3,RNF213
Syndrome 3,RNH1
Syndrome 3,ROS1
Syndrome 3,RPE65
Syndrome 3,RPH3A
Syndrome 3,RPIA
Syndrome 3,RTEL1
Syndrome 3,RTEL1-TNFRSF6B
Syndrome 3,RTN4IP1
Syndrome 3,S100A12
Syndrome 3,S100A8
Syndrome 3,SAFB
Syndrome 3,SH2D1A
Syndrome 3,SIK2
Syndrome 3,SIK3
Syndrome 3,SLC11A1
Syndrome 3,SLC12A1
Syndrome 3,SLC12A2
Syndrome 3,SLC12A3
Syndrome 3,SLC12A5
Syndrome 3,SLC12A6
Syndrome 3,SLC12A7
Syndrome 3,SLC12A8
Syndrome 3,SLC12A9
Syndrome 3,SLC13A1
Syndrome 3,SLC13A2
Syndrome 3,SLC13A3
Syndrome 3,SLC13A4
Syndrome 3,SLC13A5
Syndrome 3,SLC15A1
Syndrome 3,SLC22A14
Syndrome 3,SLC23A1
Syndrome 3,SLC35G3
Syndrome 3,SLC39A14
Syndrome 3,SLC4A7
Syndrome 3,SLC7A10
Syndrome 3,SLC7A13
Syndrome 3,SLC7A14
Syndrome 3,SLC7A2
Syndrome 3,SLC7A3
Syndrome 3,SLC7A6
Syndrome 3,SLC7A9
Syndrome 3,SLURP1
Syndrome 3,SMARCD1
Syndrome 3,SNAP25
Syndrome 3,SND1
Syndrome 3,SNX27
