Gene,SetType,DiseaseType
1017,drug,Syndrome1
2099,drug,Syndrome1
4988,drug,Syndrome1
6331,drug,Syndrome1
1266,drug,Syndrome1
5743,drug,Syndrome1
367,drug,Syndrome1
10499,drug,Syndrome1
4843,drug,Syndrome1
1803,drug,Syndrome1
4306,drug,Syndrome1
43,drug,Syndrome1
5644,drug,Syndrome1
5646,drug,Syndrome1
148,drug,Syndrome1
153,drug,Syndrome1
154,drug,Syndrome1
1128,drug,Syndrome1
6256,drug,Syndrome1
6531,drug,Syndrome1
6532,drug,Syndrome1
2554,drug,Syndrome1
147,drug,Syndrome1
146,drug,Syndrome1
1129,drug,Syndrome1
5139,drug,Syndrome1
1131,drug,Syndrome1
5292,drug,Syndrome1
760,drug,Syndrome1
4129,drug,Syndrome1
5742,drug,Syndrome1
6530,drug,Syndrome1
1800,drug,Syndrome1
590,drug,Syndrome1
207,drug,Syndrome1
216,drug,Syndrome1
354,drug,Syndrome1
581,drug,Syndrome1
596,drug,Syndrome1
598,drug,Syndrome1
836,drug,Syndrome1
874,drug,Syndrome1
891,drug,Syndrome1
1026,drug,Syndrome1
1066,drug,Syndrome1
1244,drug,Syndrome1
1432,drug,Syndrome1
1543,drug,Syndrome1
1544,drug,Syndrome1
1576,drug,Syndrome1
1645,drug,Syndrome1
1646,drug,Syndrome1
1647,drug,Syndrome1
1728,drug,Syndrome1
1786,drug,Syndrome1
1789,drug,Syndrome1
2072,drug,Syndrome1
2073,drug,Syndrome1
2078,drug,Syndrome1
2145,drug,Syndrome1
2146,drug,Syndrome1
2697,drug,Syndrome1
2729,drug,Syndrome1
2730,drug,Syndrome1
2936,drug,Syndrome1
2938,drug,Syndrome1
2939,drug,Syndrome1
2940,drug,Syndrome1
2941,drug,Syndrome1
2944,drug,Syndrome1
2950,drug,Syndrome1
3162,drug,Syndrome1
3263,drug,Syndrome1
3320,drug,Syndrome1
3717,drug,Syndrome1
4000,drug,Syndrome1
4255,drug,Syndrome1
4297,drug,Syndrome1
4312,drug,Syndrome1
4313,drug,Syndrome1
4314,drug,Syndrome1
4316,drug,Syndrome1
4317,drug,Syndrome1
4318,drug,Syndrome1
4319,drug,Syndrome1
4320,drug,Syndrome1
4322,drug,Syndrome1
4323,drug,Syndrome1
4324,drug,Syndrome1
4325,drug,Syndrome1
4326,drug,Syndrome1
4327,drug,Syndrome1
4489,drug,Syndrome1
4502,drug,Syndrome1
4779,drug,Syndrome1
4780,drug,Syndrome1
4835,drug,Syndrome1
5594,drug,Syndrome1
5595,drug,Syndrome1
5599,drug,Syndrome1
5966,drug,Syndrome1
5970,drug,Syndrome1
6419,drug,Syndrome1
6647,drug,Syndrome1
6662,drug,Syndrome1
6776,drug,Syndrome1
6777,drug,Syndrome1
6839,drug,Syndrome1
6942,drug,Syndrome1
7099,drug,Syndrome1
7124,drug,Syndrome1
7295,drug,Syndrome1
7296,drug,Syndrome1
7448,drug,Syndrome1
7468,drug,Syndrome1
8511,drug,Syndrome1
8644,drug,Syndrome1
9313,drug,Syndrome1
9536,drug,Syndrome1
9603,drug,Syndrome1
9739,drug,Syndrome1
9757,drug,Syndrome1
9817,drug,Syndrome1
9869,drug,Syndrome1
10013,drug,Syndrome1
10216,drug,Syndrome1
10322,drug,Syndrome1
10397,drug,Syndrome1
10893,drug,Syndrome1
10919,drug,Syndrome1
23067,drug,Syndrome1
25824,drug,Syndrome1
26040,drug,Syndrome1
27306,drug,Syndrome1
29072,drug,Syndrome1
51131,drug,Syndrome1
51533,drug,Syndrome1
54658,drug,Syndrome1
54904,drug,Syndrome1
55870,drug,Syndrome1
55904,drug,Syndrome1
56547,drug,Syndrome1
56950,drug,Syndrome1
57016,drug,Syndrome1
58508,drug,Syndrome1
64066,drug,Syndrome1
64100,drug,Syndrome1
64324,drug,Syndrome1
64386,drug,Syndrome1
79723,drug,Syndrome1
79813,drug,Syndrome1
80854,drug,Syndrome1
83852,drug,Syndrome1
84869,drug,Syndrome1
114826,drug,Syndrome1
118856,drug,Syndrome1
150572,drug,Syndrome1
387893,drug,Syndrome1
100131137,drug,Syndrome1
1956,drug,Syndrome1
3757,drug,Syndrome1
2155,drug,Syndrome1
5468,drug,Syndrome1
890,drug,Syndrome1
2100,drug,Syndrome1
2932,drug,Syndrome1
808,drug,Syndrome1
3500,drug,Syndrome1
8648,drug,Syndrome1
1139,drug,Syndrome1
5569,drug,Syndrome1
4048,drug,Syndrome1
1133,drug,Syndrome1
1812,drug,Syndrome1
1111,drug,Syndrome1
5241,drug,Syndrome1
2908,drug,Syndrome1
31,drug,Syndrome1
248,drug,Syndrome1
324,drug,Syndrome1
331,drug,Syndrome1
486,drug,Syndrome1
572,drug,Syndrome1
595,drug,Syndrome1
842,drug,Syndrome1
862,drug,Syndrome1
894,drug,Syndrome1
959,drug,Syndrome1
1019,drug,Syndrome1
1021,drug,Syndrome1
1029,drug,Syndrome1
1588,drug,Syndrome1
2206,drug,Syndrome1
2208,drug,Syndrome1
2353,drug,Syndrome1
3091,drug,Syndrome1
3383,drug,Syndrome1
3458,drug,Syndrome1
3480,drug,Syndrome1
3558,drug,Syndrome1
3565,drug,Syndrome1
3596,drug,Syndrome1
3630,drug,Syndrome1
3643,drug,Syndrome1
3692,drug,Syndrome1
3725,drug,Syndrome1
4170,drug,Syndrome1
4193,drug,Syndrome1
4792,drug,Syndrome1
4953,drug,Syndrome1
5054,drug,Syndrome1
5328,drug,Syndrome1
5424,drug,Syndrome1
5709,drug,Syndrome1
5925,drug,Syndrome1
6517,drug,Syndrome1
6528,drug,Syndrome1
7157,drug,Syndrome1
7226,drug,Syndrome1
7422,drug,Syndrome1
8517,drug,Syndrome1
8837,drug,Syndrome1
9521,drug,Syndrome1
10197,drug,Syndrome1
10449,drug,Syndrome1
10598,drug,Syndrome1
29880,drug,Syndrome1
51191,drug,Syndrome1
54205,drug,Syndrome1
79719,drug,Syndrome1
983,drug,Syndrome1
2891,drug,Syndrome1
6258,drug,Syndrome1
18,drug,Syndrome1
2628,drug,Syndrome1
2280,drug,Syndrome1
30814,drug,Syndrome1
6714,drug,Syndrome1
2033,drug,Syndrome1
2168,drug,Syndrome1
3576,drug,Syndrome1
5465,drug,Syndrome1
5948,drug,Syndrome1
5319,drug,Syndrome1
25,drug,Syndrome1
49,drug,Syndrome1
51,drug,Syndrome1
142,drug,Syndrome1
213,drug,Syndrome1
240,drug,Syndrome1
284,drug,Syndrome1
285,drug,Syndrome1
317,drug,Syndrome1
329,drug,Syndrome1
332,drug,Syndrome1
355,drug,Syndrome1
467,drug,Syndrome1
468,drug,Syndrome1
472,drug,Syndrome1
566,drug,Syndrome1
578,drug,Syndrome1
623,drug,Syndrome1
629,drug,Syndrome1
637,drug,Syndrome1
663,drug,Syndrome1
664,drug,Syndrome1
665,drug,Syndrome1
716,drug,Syndrome1
717,drug,Syndrome1
796,drug,Syndrome1
797,drug,Syndrome1
837,drug,Syndrome1
840,drug,Syndrome1
841,drug,Syndrome1
875,drug,Syndrome1
885,drug,Syndrome1
1027,drug,Syndrome1
1072,drug,Syndrome1
1215,drug,Syndrome1
1374,drug,Syndrome1
1385,drug,Syndrome1
1504,drug,Syndrome1
1506,drug,Syndrome1
1511,drug,Syndrome1
1557,drug,Syndrome1
1559,drug,Syndrome1
1565,drug,Syndrome1
1649,drug,Syndrome1
1675,drug,Syndrome1
1676,drug,Syndrome1
1869,drug,Syndrome1
1874,drug,Syndrome1
1906,drug,Syndrome1
1990,drug,Syndrome1
1991,drug,Syndrome1
2057,drug,Syndrome1
2064,drug,Syndrome1
2081,drug,Syndrome1
2147,drug,Syndrome1
2150,drug,Syndrome1
2158,drug,Syndrome1
2159,drug,Syndrome1
2160,drug,Syndrome1
2161,drug,Syndrome1
2167,drug,Syndrome1
2171,drug,Syndrome1
2181,drug,Syndrome1
2194,drug,Syndrome1
2520,drug,Syndrome1
2596,drug,Syndrome1
2597,drug,Syndrome1
2623,drug,Syndrome1
2641,drug,Syndrome1
2670,drug,Syndrome1
2746,drug,Syndrome1
2752,drug,Syndrome1
2993,drug,Syndrome1
2999,drug,Syndrome1
3001,drug,Syndrome1
3002,drug,Syndrome1
3003,drug,Syndrome1
3004,drug,Syndrome1
3026,drug,Syndrome1
3043,drug,Syndrome1
3082,drug,Syndrome1
3083,drug,Syndrome1
3169,drug,Syndrome1
3240,drug,Syndrome1
3249,drug,Syndrome1
3250,drug,Syndrome1
3265,drug,Syndrome1
3284,drug,Syndrome1
3309,drug,Syndrome1
3426,drug,Syndrome1
3479,drug,Syndrome1
3484,drug,Syndrome1
3569,drug,Syndrome1
3593,drug,Syndrome1
3716,drug,Syndrome1
3726,drug,Syndrome1
3816,drug,Syndrome1
3817,drug,Syndrome1
3818,drug,Syndrome1
3956,drug,Syndrome1
4018,drug,Syndrome1
4057,drug,Syndrome1
4133,drug,Syndrome1
4485,drug,Syndrome1
4552,drug,Syndrome1
4609,drug,Syndrome1
4842,drug,Syndrome1
4846,drug,Syndrome1
4864,drug,Syndrome1
5236,drug,Syndrome1
5243,drug,Syndrome1
5315,drug,Syndrome1
5327,drug,Syndrome1
5329,drug,Syndrome1
5340,drug,Syndrome1
5443,drug,Syndrome1
5447,drug,Syndrome1
5467,drug,Syndrome1
5578,drug,Syndrome1
5580,drug,Syndrome1
5591,drug,Syndrome1
5601,drug,Syndrome1
5604,drug,Syndrome1
5624,drug,Syndrome1
5648,drug,Syndrome1
5650,drug,Syndrome1
5651,drug,Syndrome1
5652,drug,Syndrome1
5653,drug,Syndrome1
5655,drug,Syndrome1
5657,drug,Syndrome1
5879,drug,Syndrome1
6197,drug,Syndrome1
6257,drug,Syndrome1
6275,drug,Syndrome1
6307,drug,Syndrome1
6342,drug,Syndrome1
6558,drug,Syndrome1
6622,drug,Syndrome1
6688,drug,Syndrome1
6768,drug,Syndrome1
6772,drug,Syndrome1
6774,drug,Syndrome1
6863,drug,Syndrome1
6869,drug,Syndrome1
6885,drug,Syndrome1
7010,drug,Syndrome1
7039,drug,Syndrome1
7040,drug,Syndrome1
7076,drug,Syndrome1
7078,drug,Syndrome1
7108,drug,Syndrome1
7113,drug,Syndrome1
7132,drug,Syndrome1
7167,drug,Syndrome1
7177,drug,Syndrome1
7184,drug,Syndrome1
7187,drug,Syndrome1
7350,drug,Syndrome1
7412,drug,Syndrome1
7442,drug,Syndrome1
7474,drug,Syndrome1
8492,drug,Syndrome1
8718,drug,Syndrome1
8743,drug,Syndrome1
8767,drug,Syndrome1
8795,drug,Syndrome1
8797,drug,Syndrome1
8858,drug,Syndrome1
8912,drug,Syndrome1
9377,drug,Syndrome1
9407,drug,Syndrome1
9474,drug,Syndrome1
9518,drug,Syndrome1
9531,drug,Syndrome1
9588,drug,Syndrome1
9618,drug,Syndrome1
9622,drug,Syndrome1
9774,drug,Syndrome1
10136,drug,Syndrome1
10495,drug,Syndrome1
10699,drug,Syndrome1
10747,drug,Syndrome1
10942,drug,Syndrome1
11012,drug,Syndrome1
11200,drug,Syndrome1
11202,drug,Syndrome1
11330,drug,Syndrome1
23411,drug,Syndrome1
23430,drug,Syndrome1
23436,drug,Syndrome1
25818,drug,Syndrome1
25823,drug,Syndrome1
26085,drug,Syndrome1
27158,drug,Syndrome1
28983,drug,Syndrome1
29122,drug,Syndrome1
43847,drug,Syndrome1
43849,drug,Syndrome1
50508,drug,Syndrome1
51032,drug,Syndrome1
51083,drug,Syndrome1
51279,drug,Syndrome1
51393,drug,Syndrome1
54971,drug,Syndrome1
55253,drug,Syndrome1
55503,drug,Syndrome1
55554,drug,Syndrome1
56302,drug,Syndrome1
56649,drug,Syndrome1
58488,drug,Syndrome1
59341,drug,Syndrome1
63036,drug,Syndrome1
64063,drug,Syndrome1
64699,drug,Syndrome1
80781,drug,Syndrome1
80975,drug,Syndrome1
83886,drug,Syndrome1
84000,drug,Syndrome1
112401,drug,Syndrome1
132724,drug,Syndrome1
136242,drug,Syndrome1
136541,drug,Syndrome1
146547,drug,Syndrome1
150527,drug,Syndrome1
162514,drug,Syndrome1
164656,drug,Syndrome1
203074,drug,Syndrome1
221191,drug,Syndrome1
260429,drug,Syndrome1
283471,drug,Syndrome1
283871,drug,Syndrome1
284366,drug,Syndrome1
339105,drug,Syndrome1
339501,drug,Syndrome1
339906,drug,Syndrome1
339967,drug,Syndrome1
341350,drug,Syndrome1
344805,drug,Syndrome1
345062,drug,Syndrome1
360200,drug,Syndrome1
377047,drug,Syndrome1
387082,drug,Syndrome1
389208,drug,Syndrome1
400668,drug,Syndrome1
440387,drug,Syndrome1
100287362,drug,Syndrome1
100506658,drug,Syndrome1
124,drug,Syndrome1
125,drug,Syndrome1
127,drug,Syndrome1
128,drug,Syndrome1
130,drug,Syndrome1
131,drug,Syndrome1
627,drug,Syndrome1
635,drug,Syndrome1
1103,drug,Syndrome1
1119,drug,Syndrome1
1120,drug,Syndrome1
2903,drug,Syndrome1
4069,drug,Syndrome1
5130,drug,Syndrome1
5337,drug,Syndrome1
5338,drug,Syndrome1
5972,drug,Syndrome1
6580,drug,Syndrome1
6582,drug,Syndrome1
8884,drug,Syndrome1
9468,drug,Syndrome1
9791,drug,Syndrome1
9976,drug,Syndrome1
10891,drug,Syndrome1
23446,drug,Syndrome1
23646,drug,Syndrome1
55224,drug,Syndrome1
55349,drug,Syndrome1
55500,drug,Syndrome1
56261,drug,Syndrome1
57153,drug,Syndrome1
60482,drug,Syndrome1
122618,drug,Syndrome1
126969,drug,Syndrome1
159963,drug,Syndrome1
160728,drug,Syndrome1
162466,drug,Syndrome1
201164,drug,Syndrome1
204962,drug,Syndrome1
386593,drug,Syndrome1
152,drug,Syndrome1
150,drug,Syndrome1
4985,drug,Syndrome1
1132,drug,Syndrome1
59,drug,Syndrome1
695,drug,Syndrome1
1437,drug,Syndrome1
1950,drug,Syndrome1
2321,drug,Syndrome1
2324,drug,Syndrome1
3553,drug,Syndrome1
3791,drug,Syndrome1
5581,drug,Syndrome1
6513,drug,Syndrome1
151,drug,Syndrome1
4128,drug,Syndrome1
2946,drug,Syndrome1
151056,drug,Syndrome1
351,drug,Syndrome1
1583,drug,Syndrome1
1584,drug,Syndrome1
3156,drug,Syndrome1
6770,drug,Syndrome1
8856,drug,Syndrome1
51477,drug,Syndrome1
1499,drug,Syndrome1
2990,drug,Syndrome1
4891,drug,Syndrome1
5579,drug,Syndrome1
94033,drug,Syndrome1
941,drug,Syndrome1
942,drug,Syndrome1
958,drug,Syndrome1
50506,drug,Syndrome1
995,drug,Syndrome1
1384,drug,Syndrome1
2810,drug,Syndrome1
5347,drug,Syndrome1
108,drug,Syndrome1
3586,drug,Syndrome1
4233,drug,Syndrome1
5111,drug,Syndrome1
7150,drug,Syndrome1
7153,drug,Syndrome1
7299,drug,Syndrome1
7498,drug,Syndrome1
83540,drug,Syndrome1
5733,drug,Syndrome1
3931,drug,Syndrome1
672,drug,Syndrome1
1022,drug,Syndrome1
2067,drug,Syndrome1
2068,drug,Syndrome1
2237,drug,Syndrome1
2966,drug,Syndrome1
3364,drug,Syndrome1
3508,drug,Syndrome1
4361,drug,Syndrome1
4437,drug,Syndrome1
4595,drug,Syndrome1
4683,drug,Syndrome1
4968,drug,Syndrome1
5395,drug,Syndrome1
5883,drug,Syndrome1
5888,drug,Syndrome1
5890,drug,Syndrome1
6300,drug,Syndrome1
7161,drug,Syndrome1
7516,drug,Syndrome1
7517,drug,Syndrome1
7832,drug,Syndrome1
8243,drug,Syndrome1
10912,drug,Syndrome1
11144,drug,Syndrome1
11284,drug,Syndrome1
23645,drug,Syndrome1
26057,drug,Syndrome1
27030,drug,Syndrome1
27244,drug,Syndrome1
51455,drug,Syndrome1
51776,drug,Syndrome1
55728,drug,Syndrome1
847,drug,Syndrome1
1281,drug,Syndrome1
1571,drug,Syndrome1
1622,drug,Syndrome1
1958,drug,Syndrome1
2152,drug,Syndrome1
2335,drug,Syndrome1
2354,drug,Syndrome1
2571,drug,Syndrome1
3060,drug,Syndrome1
3164,drug,Syndrome1
3673,drug,Syndrome1
3683,drug,Syndrome1
3684,drug,Syndrome1
3688,drug,Syndrome1
3778,drug,Syndrome1
3952,drug,Syndrome1
4803,drug,Syndrome1
4914,drug,Syndrome1
4978,drug,Syndrome1
5144,drug,Syndrome1
5179,drug,Syndrome1
5818,drug,Syndrome1
5924,drug,Syndrome1
6347,drug,Syndrome1
6401,drug,Syndrome1
7015,drug,Syndrome1
7054,drug,Syndrome1
7079,drug,Syndrome1
8876,drug,Syndrome1
8973,drug,Syndrome1
9370,drug,Syndrome1
10645,drug,Syndrome1
23237,drug,Syndrome1
30819,drug,Syndrome1
64805,drug,Syndrome1
573971,drug,Syndrome1
1719,drug,Syndrome1
1135,drug,Syndrome1
338,drug,Syndrome1
506,drug,Syndrome1
4023,drug,Syndrome1
8050,drug,Syndrome1
80168,drug,Syndrome1
1509,drug,Syndrome1
1277,drug,Syndrome1
5728,drug,Syndrome1
6584,drug,Syndrome1
728411,drug,Syndrome1
6010,drug,Syndrome1
174,drug,Syndrome1
249,drug,Syndrome1
286,drug,Syndrome1
287,drug,Syndrome1
288,drug,Syndrome1
356,drug,Syndrome1
414,drug,Syndrome1
415,drug,Syndrome1
416,drug,Syndrome1
580,drug,Syndrome1
602,drug,Syndrome1
740,drug,Syndrome1
813,drug,Syndrome1
1030,drug,Syndrome1
1031,drug,Syndrome1
1032,drug,Syndrome1
1316,drug,Syndrome1
1654,drug,Syndrome1
1843,drug,Syndrome1
2114,drug,Syndrome1
2277,drug,Syndrome1
2553,drug,Syndrome1
2624,drug,Syndrome1
3188,drug,Syndrome1
3280,drug,Syndrome1
3399,drug,Syndrome1
3552,drug,Syndrome1
3611,drug,Syndrome1
3840,drug,Syndrome1
4041,drug,Syndrome1
4051,drug,Syndrome1
4247,drug,Syndrome1
4496,drug,Syndrome1
4501,drug,Syndrome1
4659,drug,Syndrome1
4790,drug,Syndrome1
4791,drug,Syndrome1
4793,drug,Syndrome1
4794,drug,Syndrome1
4796,drug,Syndrome1
4800,drug,Syndrome1
4851,drug,Syndrome1
4853,drug,Syndrome1
4854,drug,Syndrome1
4855,drug,Syndrome1
5293,drug,Syndrome1
5411,drug,Syndrome1
5444,drug,Syndrome1
5445,drug,Syndrome1
5446,drug,Syndrome1
5566,drug,Syndrome1
5716,drug,Syndrome1
5901,drug,Syndrome1
6041,drug,Syndrome1
6426,drug,Syndrome1
6430,drug,Syndrome1
6799,drug,Syndrome1
6817,drug,Syndrome1
6818,drug,Syndrome1
6879,drug,Syndrome1
7014,drug,Syndrome1
7037,drug,Syndrome1
7050,drug,Syndrome1
7071,drug,Syndrome1
7128,drug,Syndrome1
7286,drug,Syndrome1
7357,drug,Syndrome1
7444,drug,Syndrome1
7514,drug,Syndrome1
8061,drug,Syndrome1
8398,drug,Syndrome1
8431,drug,Syndrome1
8493,drug,Syndrome1
8553,drug,Syndrome1
8625,drug,Syndrome1
8658,drug,Syndrome1
8864,drug,Syndrome1
8989,drug,Syndrome1
9240,drug,Syndrome1
9317,drug,Syndrome1
9329,drug,Syndrome1
9367,drug,Syndrome1
9469,drug,Syndrome1
9627,drug,Syndrome1
9990,drug,Syndrome1
10073,drug,Syndrome1
10116,drug,Syndrome1
10140,drug,Syndrome1
10221,drug,Syndrome1
10403,drug,Syndrome1
10440,drug,Syndrome1
10670,drug,Syndrome1
10732,drug,Syndrome1
10904,drug,Syndrome1
10905,drug,Syndrome1
10965,drug,Syndrome1
22852,drug,Syndrome1
22881,drug,Syndrome1
22901,drug,Syndrome1
22936,drug,Syndrome1
22941,drug,Syndrome1
23189,drug,Syndrome1
23214,drug,Syndrome1
23243,drug,Syndrome1
23294,drug,Syndrome1
23390,drug,Syndrome1
23435,drug,Syndrome1
23784,drug,Syndrome1
25805,drug,Syndrome1
26051,drug,Syndrome1
26064,drug,Syndrome1
26115,drug,Syndrome1
26287,drug,Syndrome1
26528,drug,Syndrome1
26762,drug,Syndrome1
27063,drug,Syndrome1
27130,drug,Syndrome1
27161,drug,Syndrome1
27242,drug,Syndrome1
29803,drug,Syndrome1
50944,drug,Syndrome1
51188,drug,Syndrome1
51239,drug,Syndrome1
51282,drug,Syndrome1
51479,drug,Syndrome1
51665,drug,Syndrome1
51666,drug,Syndrome1
51676,drug,Syndrome1
51747,drug,Syndrome1
54101,drug,Syndrome1
54503,drug,Syndrome1
54522,drug,Syndrome1
54556,drug,Syndrome1
54578,drug,Syndrome1
54737,drug,Syndrome1
54776,drug,Syndrome1
54851,drug,Syndrome1
54882,drug,Syndrome1
55075,drug,Syndrome1
55367,drug,Syndrome1
55527,drug,Syndrome1
55608,drug,Syndrome1
56311,drug,Syndrome1
56899,drug,Syndrome1
56929,drug,Syndrome1
57162,drug,Syndrome1
57182,drug,Syndrome1
57498,drug,Syndrome1
57510,drug,Syndrome1
57513,drug,Syndrome1
57524,drug,Syndrome1
57531,drug,Syndrome1
57534,drug,Syndrome1
57763,drug,Syndrome1
63926,drug,Syndrome1
64332,drug,Syndrome1
65124,drug,Syndrome1
79642,drug,Syndrome1
79722,drug,Syndrome1
79754,drug,Syndrome1
79998,drug,Syndrome1
80325,drug,Syndrome1
80351,drug,Syndrome1
83715,drug,Syndrome1
83992,drug,Syndrome1
84079,drug,Syndrome1
84807,drug,Syndrome1
84988,drug,Syndrome1
85461,drug,Syndrome1
91074,drug,Syndrome1
91526,drug,Syndrome1
92565,drug,Syndrome1
92591,drug,Syndrome1
116729,drug,Syndrome1
118932,drug,Syndrome1
122416,drug,Syndrome1
124401,drug,Syndrome1
126626,drug,Syndrome1
129138,drug,Syndrome1
136371,drug,Syndrome1
136991,drug,Syndrome1
140456,drug,Syndrome1
140458,drug,Syndrome1
140459,drug,Syndrome1
140460,drug,Syndrome1
140461,drug,Syndrome1
140462,drug,Syndrome1
140731,drug,Syndrome1
142685,drug,Syndrome1
142686,drug,Syndrome1
142689,drug,Syndrome1
147463,drug,Syndrome1
148741,drug,Syndrome1
150094,drug,Syndrome1
153642,drug,Syndrome1
157567,drug,Syndrome1
163782,drug,Syndrome1
170961,drug,Syndrome1
200539,drug,Syndrome1
203286,drug,Syndrome1
253650,drug,Syndrome1
255239,drug,Syndrome1
256949,drug,Syndrome1
257629,drug,Syndrome1
283373,drug,Syndrome1
284353,drug,Syndrome1
317754,drug,Syndrome1
338699,drug,Syndrome1
339768,drug,Syndrome1
353322,drug,Syndrome1
374569,drug,Syndrome1
374860,drug,Syndrome1
375248,drug,Syndrome1
388468,drug,Syndrome1
400986,drug,Syndrome1
401036,drug,Syndrome1
441430,drug,Syndrome1
441459,drug,Syndrome1
441478,drug,Syndrome1
441869,drug,Syndrome1
445582,drug,Syndrome1
554226,drug,Syndrome1
653269,drug,Syndrome1
653781,drug,Syndrome1
723961,drug,Syndrome1
728747,drug,Syndrome1
728780,drug,Syndrome1
100131244,drug,Syndrome1
