Gene,SetType,DiseaseType
3265,disease,HCC
10395,disease,HCC
10413,disease,HCC
1499,disease,HCC
174,disease,HCC
207,disease,HCC
213,disease,HCC
2719,disease,HCC
3091,disease,HCC
4072,disease,HCC
5290,disease,HCC
5291,disease,HCC
5293,disease,HCC
5294,disease,HCC
5728,disease,HCC
6774,disease,HCC
7157,disease,HCC
7422,disease,HCC
8743,disease,HCC
8842,disease,HCC
960,disease,HCC
4609,disease,HCC
5243,disease,HCC
5594,disease,HCC
5743,disease,HCC
596,disease,HCC
7070,disease,HCC
7124,disease,HCC
1029,disease,HCC
1956,disease,HCC
23411,disease,HCC
4780,disease,HCC
595,disease,HCC
11009,disease,HCC
2896,disease,HCC
3569,disease,HCC
5315,disease,HCC
6868,disease,HCC
7040,disease,HCC
836,disease,HCC
9940,disease,HCC
1869,disease,HCC
27232,disease,HCC
3172,disease,HCC
3383,disease,HCC
392,disease,HCC
4233,disease,HCC
5468,disease,HCC
6528,disease,HCC
8091,disease,HCC
92140,disease,HCC
22914,disease,HCC
2305,disease,HCC
28951,disease,HCC
290,disease,HCC
5465,disease,HCC
648,disease,HCC
7027,disease,HCC
7039,disease,HCC
79923,disease,HCC
8877,disease,HCC
196,disease,HCC
2146,disease,HCC
217,disease,HCC
2875,disease,HCC
3066,disease,HCC
3077,disease,HCC
3099,disease,HCC
3309,disease,HCC
3429,disease,HCC
3439,disease,HCC
3558,disease,HCC
3576,disease,HCC
3725,disease,HCC
4144,disease,HCC
4193,disease,HCC
5562,disease,HCC
5563,disease,HCC
5564,disease,HCC
5595,disease,HCC
5599,disease,HCC
5716,disease,HCC
6098,disease,HCC
7015,disease,HCC
80339,disease,HCC
80781,disease,HCC
8313,disease,HCC
8878,disease,HCC
1017,disease,HCC
10499,disease,HCC
10891,disease,HCC
1525,disease,HCC
1571,disease,HCC
1646,disease,HCC
182,disease,HCC
1950,disease,HCC
214,disease,HCC
22943,disease,HCC
2308,disease,HCC
231,disease,HCC
23326,disease,HCC
23705,disease,HCC
2475,disease,HCC
29072,disease,HCC
29126,disease,HCC
302,disease,HCC
3082,disease,HCC
3146,disease,HCC
3169,disease,HCC
3315,disease,HCC
3337,disease,HCC
3339,disease,HCC
3479,disease,HCC
3480,disease,HCC
3934,disease,HCC
4170,disease,HCC
4209,disease,HCC
4313,disease,HCC
4524,disease,HCC
4851,disease,HCC
5111,disease,HCC
51280,disease,HCC
5133,disease,HCC
51547,disease,HCC
5245,disease,HCC
5347,disease,HCC
5460,disease,HCC
5573,disease,HCC
5609,disease,HCC
57447,disease,HCC
5781,disease,HCC
6304,disease,HCC
6657,disease,HCC
6696,disease,HCC
6794,disease,HCC
7099,disease,HCC
7291,disease,HCC
7515,disease,HCC
