Gene,SetType,DiseaseType
1017,drug_overlap,Syndrome1
6331,drug_overlap,Syndrome1
5743,drug_overlap,Syndrome1
10499,drug_overlap,Syndrome1
4843,drug_overlap,Syndrome1
1803,drug_overlap,Syndrome1
43,drug_overlap,Syndrome1
5644,drug_overlap,Syndrome1
5646,drug_overlap,Syndrome1
153,drug_overlap,Syndrome1
154,drug_overlap,Syndrome1
6532,drug_overlap,Syndrome1
146,drug_overlap,Syndrome1
760,drug_overlap,Syndrome1
4129,drug_overlap,Syndrome1
5742,drug_overlap,Syndrome1
6530,drug_overlap,Syndrome1
1800,drug_overlap,Syndrome1
590,drug_overlap,Syndrome1
216,drug_overlap,Syndrome1
581,drug_overlap,Syndrome1
874,drug_overlap,Syndrome1
1026,drug_overlap,Syndrome1
1432,drug_overlap,Syndrome1
2697,drug_overlap,Syndrome1
3162,drug_overlap,Syndrome1
3263,drug_overlap,Syndrome1
4317,drug_overlap,Syndrome1
4324,drug_overlap,Syndrome1
4325,drug_overlap,Syndrome1
4326,drug_overlap,Syndrome1
4327,drug_overlap,Syndrome1
5594,drug_overlap,Syndrome1
5595,drug_overlap,Syndrome1
6839,drug_overlap,Syndrome1
8511,drug_overlap,Syndrome1
9313,drug_overlap,Syndrome1
10216,drug_overlap,Syndrome1
56547,drug_overlap,Syndrome1
64100,drug_overlap,Syndrome1
64386,drug_overlap,Syndrome1
83852,drug_overlap,Syndrome1
84869,drug_overlap,Syndrome1
118856,drug_overlap,Syndrome1
100131137,drug_overlap,Syndrome1
1956,drug_overlap,Syndrome1
5468,drug_overlap,Syndrome1
890,drug_overlap,Syndrome1
2100,drug_overlap,Syndrome1
2932,drug_overlap,Syndrome1
1111,drug_overlap,Syndrome1
842,drug_overlap,Syndrome1
959,drug_overlap,Syndrome1
1019,drug_overlap,Syndrome1
3458,drug_overlap,Syndrome1
3480,drug_overlap,Syndrome1
3725,drug_overlap,Syndrome1
4170,drug_overlap,Syndrome1
4193,drug_overlap,Syndrome1
7157,drug_overlap,Syndrome1
10598,drug_overlap,Syndrome1
18,drug_overlap,Syndrome1
2628,drug_overlap,Syndrome1
6714,drug_overlap,Syndrome1
5319,drug_overlap,Syndrome1
49,drug_overlap,Syndrome1
51,drug_overlap,Syndrome1
240,drug_overlap,Syndrome1
285,drug_overlap,Syndrome1
566,drug_overlap,Syndrome1
629,drug_overlap,Syndrome1
664,drug_overlap,Syndrome1
716,drug_overlap,Syndrome1
717,drug_overlap,Syndrome1
885,drug_overlap,Syndrome1
1504,drug_overlap,Syndrome1
1506,drug_overlap,Syndrome1
1511,drug_overlap,Syndrome1
1675,drug_overlap,Syndrome1
1676,drug_overlap,Syndrome1
1874,drug_overlap,Syndrome1
1906,drug_overlap,Syndrome1
1991,drug_overlap,Syndrome1
2081,drug_overlap,Syndrome1
2158,drug_overlap,Syndrome1
2159,drug_overlap,Syndrome1
2161,drug_overlap,Syndrome1
2746,drug_overlap,Syndrome1
2999,drug_overlap,Syndrome1
3001,drug_overlap,Syndrome1
3002,drug_overlap,Syndrome1
3003,drug_overlap,Syndrome1
3004,drug_overlap,Syndrome1
3026,drug_overlap,Syndrome1
3082,drug_overlap,Syndrome1
3083,drug_overlap,Syndrome1
3240,drug_overlap,Syndrome1
3249,drug_overlap,Syndrome1
3250,drug_overlap,Syndrome1
3426,drug_overlap,Syndrome1
3569,drug_overlap,Syndrome1
3816,drug_overlap,Syndrome1
3817,drug_overlap,Syndrome1
3818,drug_overlap,Syndrome1
4018,drug_overlap,Syndrome1
4057,drug_overlap,Syndrome1
4133,drug_overlap,Syndrome1
4485,drug_overlap,Syndrome1
5236,drug_overlap,Syndrome1
5315,drug_overlap,Syndrome1
5327,drug_overlap,Syndrome1
5578,drug_overlap,Syndrome1
5648,drug_overlap,Syndrome1
5650,drug_overlap,Syndrome1
5651,drug_overlap,Syndrome1
5652,drug_overlap,Syndrome1
5653,drug_overlap,Syndrome1
5655,drug_overlap,Syndrome1
5657,drug_overlap,Syndrome1
6257,drug_overlap,Syndrome1
6275,drug_overlap,Syndrome1
6342,drug_overlap,Syndrome1
6558,drug_overlap,Syndrome1
6768,drug_overlap,Syndrome1
7039,drug_overlap,Syndrome1
7108,drug_overlap,Syndrome1
7113,drug_overlap,Syndrome1
7167,drug_overlap,Syndrome1
7177,drug_overlap,Syndrome1
8492,drug_overlap,Syndrome1
8718,drug_overlap,Syndrome1
9407,drug_overlap,Syndrome1
9531,drug_overlap,Syndrome1
9622,drug_overlap,Syndrome1
10495,drug_overlap,Syndrome1
10699,drug_overlap,Syndrome1
10747,drug_overlap,Syndrome1
10942,drug_overlap,Syndrome1
11012,drug_overlap,Syndrome1
11202,drug_overlap,Syndrome1
11330,drug_overlap,Syndrome1
23411,drug_overlap,Syndrome1
23430,drug_overlap,Syndrome1
23436,drug_overlap,Syndrome1
25823,drug_overlap,Syndrome1
26085,drug_overlap,Syndrome1
28983,drug_overlap,Syndrome1
29122,drug_overlap,Syndrome1
43847,drug_overlap,Syndrome1
43849,drug_overlap,Syndrome1
50508,drug_overlap,Syndrome1
51032,drug_overlap,Syndrome1
51279,drug_overlap,Syndrome1
54971,drug_overlap,Syndrome1
55503,drug_overlap,Syndrome1
55554,drug_overlap,Syndrome1
56302,drug_overlap,Syndrome1
56649,drug_overlap,Syndrome1
58488,drug_overlap,Syndrome1
63036,drug_overlap,Syndrome1
64063,drug_overlap,Syndrome1
64699,drug_overlap,Syndrome1
80975,drug_overlap,Syndrome1
83886,drug_overlap,Syndrome1
84000,drug_overlap,Syndrome1
112401,drug_overlap,Syndrome1
132724,drug_overlap,Syndrome1
136242,drug_overlap,Syndrome1
136541,drug_overlap,Syndrome1
146547,drug_overlap,Syndrome1
150527,drug_overlap,Syndrome1
164656,drug_overlap,Syndrome1
203074,drug_overlap,Syndrome1
221191,drug_overlap,Syndrome1
260429,drug_overlap,Syndrome1
283471,drug_overlap,Syndrome1
284366,drug_overlap,Syndrome1
339105,drug_overlap,Syndrome1
339501,drug_overlap,Syndrome1
339906,drug_overlap,Syndrome1
339967,drug_overlap,Syndrome1
341350,drug_overlap,Syndrome1
344805,drug_overlap,Syndrome1
345062,drug_overlap,Syndrome1
360200,drug_overlap,Syndrome1
377047,drug_overlap,Syndrome1
387082,drug_overlap,Syndrome1
389208,drug_overlap,Syndrome1
400668,drug_overlap,Syndrome1
440387,drug_overlap,Syndrome1
100287362,drug_overlap,Syndrome1
124,drug_overlap,Syndrome1
1119,drug_overlap,Syndrome1
2903,drug_overlap,Syndrome1
4069,drug_overlap,Syndrome1
5972,drug_overlap,Syndrome1
9468,drug_overlap,Syndrome1
10891,drug_overlap,Syndrome1
23446,drug_overlap,Syndrome1
55224,drug_overlap,Syndrome1
55500,drug_overlap,Syndrome1
57153,drug_overlap,Syndrome1
126969,drug_overlap,Syndrome1
162466,drug_overlap,Syndrome1
204962,drug_overlap,Syndrome1
386593,drug_overlap,Syndrome1
150,drug_overlap,Syndrome1
1132,drug_overlap,Syndrome1
351,drug_overlap,Syndrome1
3156,drug_overlap,Syndrome1
108,drug_overlap,Syndrome1
7150,drug_overlap,Syndrome1
83540,drug_overlap,Syndrome1
3931,drug_overlap,Syndrome1
2335,drug_overlap,Syndrome1
3683,drug_overlap,Syndrome1
3688,drug_overlap,Syndrome1
4803,drug_overlap,Syndrome1
4914,drug_overlap,Syndrome1
5818,drug_overlap,Syndrome1
8973,drug_overlap,Syndrome1
573971,drug_overlap,Syndrome1
338,drug_overlap,Syndrome1
506,drug_overlap,Syndrome1
8050,drug_overlap,Syndrome1
80168,drug_overlap,Syndrome1
1509,drug_overlap,Syndrome1
3188,drug_overlap,Syndrome1
4790,drug_overlap,Syndrome1
5293,drug_overlap,Syndrome1
5411,drug_overlap,Syndrome1
5444,drug_overlap,Syndrome1
6879,drug_overlap,Syndrome1
7014,drug_overlap,Syndrome1
8864,drug_overlap,Syndrome1
9240,drug_overlap,Syndrome1
10440,drug_overlap,Syndrome1
10732,drug_overlap,Syndrome1
10904,drug_overlap,Syndrome1
26528,drug_overlap,Syndrome1
26762,drug_overlap,Syndrome1
51188,drug_overlap,Syndrome1
54556,drug_overlap,Syndrome1
2015,drug_overlap,Syndrome1
10149,drug_overlap,Syndrome1
22859,drug_overlap,Syndrome1
23266,drug_overlap,Syndrome1
23284,drug_overlap,Syndrome1
23478,drug_overlap,Syndrome1
25903,drug_overlap,Syndrome1
30817,drug_overlap,Syndrome1
57211,drug_overlap,Syndrome1
59271,drug_overlap,Syndrome1
64123,drug_overlap,Syndrome1
83943,drug_overlap,Syndrome1
84467,drug_overlap,Syndrome1
84658,drug_overlap,Syndrome1
84873,drug_overlap,Syndrome1
90701,drug_overlap,Syndrome1
139378,drug_overlap,Syndrome1
165082,drug_overlap,Syndrome1
169611,drug_overlap,Syndrome1
196294,drug_overlap,Syndrome1
221188,drug_overlap,Syndrome1
221393,drug_overlap,Syndrome1
221395,drug_overlap,Syndrome1
222487,drug_overlap,Syndrome1
222611,drug_overlap,Syndrome1
266977,drug_overlap,Syndrome1
283298,drug_overlap,Syndrome1
283383,drug_overlap,Syndrome1
347088,drug_overlap,Syndrome1
2805,drug_overlap,Syndrome1
2890,drug_overlap,Syndrome1
5837,drug_overlap,Syndrome1
4200,drug_overlap,Syndrome1
2806,drug_overlap,Syndrome1
1234,drug_overlap,Syndrome1
1909,drug_overlap,Syndrome1
3356,drug_overlap,Syndrome1
3363,drug_overlap,Syndrome1
4886,drug_overlap,Syndrome1
4986,drug_overlap,Syndrome1
5731,drug_overlap,Syndrome1
7852,drug_overlap,Syndrome1
19,drug_overlap,Syndrome1
994,drug_overlap,Syndrome1
6389,drug_overlap,Syndrome1
10165,drug_overlap,Syndrome1
189,drug_overlap,Syndrome1
2747,drug_overlap,Syndrome1
122622,drug_overlap,Syndrome1
383,drug_overlap,Syndrome1
217,drug_overlap,Syndrome1
223,drug_overlap,Syndrome1
276,drug_overlap,Syndrome1
279,drug_overlap,Syndrome1
350,drug_overlap,Syndrome1
1116,drug_overlap,Syndrome1
3939,drug_overlap,Syndrome1
3945,drug_overlap,Syndrome1
5313,drug_overlap,Syndrome1
6470,drug_overlap,Syndrome1
8482,drug_overlap,Syndrome1
9037,drug_overlap,Syndrome1
9723,drug_overlap,Syndrome1
10105,drug_overlap,Syndrome1
10202,drug_overlap,Syndrome1
